GEOCOD,ID,COD_SET_ZON,COD_QDR_ZON,COD_LOG_ZON,COD_CNDM_ZON,COD_LOTE_ZON,SGL_SUBP_EDIC,SGL_DSTR_EDIC,COD_TSTD_ZON,IND_VRFC_EDIC,IND_EXCL_INCL_CRGA,SGL_ZONA_01_ZON,COD_PRMR_01_ZON,SGL_LNDR_01_ZON,COD_TIP_LEGC_01,COD_LEGC_01_ZON,ANO_LEGC_01_ZON,IND_ADCA_CRGA,SGL_ZONA_02_ZON,COD_PRMR_02_ZON,SGL_LNDR_02_ZON,COD_TIP_LEGC_02,COD_LEGC_02_ZON,ANO_LEGC_02_ZON,SGL_ZONA_03_ZON,COD_PRMR_03_ZON,SGL_LNDR_03_ZON,COD_TIP_LEGC_03,COD_LEGC_03_ZON,ANO_LEGC_03_ZON,SGL_ZONA_04_ZON,COD_PRMR_04_ZON,SGL_LNDR_04_ZON,COD_TIP_LEGC_04,COD_LEGC_04_ZON,ANO_LEGC_04_ZON,SGL_ZONA_05_ZON,COD_PRMR_05_ZON,SGL_LNDR_05_ZON,COD_TIP_LEGC_05,COD_LEGC_05_ZON,ANO_LEGC_05_ZON,SGL_ZONA_06_ZON,COD_PRMR_06_ZON,SGL_LNDR_06_ZON,COD_TIP_LEGC_06,COD_LEGC_06_ZON,ANO_LEGC_06_ZON,COD_AREA_CONST,COD_AREA_LT,COD_END_LOG,COD_NUM_PORT,COD_SIT,VALOR_MET_CODLOG,VALOR_MET_MED_ZON,NUM_PAV,SGL_ZON_URB_RUR,ANO_CONST,IND_EXCL_OBS,TXT_OBS_01_EDIC,TXT_OBS_02_EDIC,NOME_CID_EDIC,NOME_EST_EDIC,NOME_PAIS_EDIC,REG_LIM_ADM,COD_QUAD,COD_ANO,COND,Lat__y_,Long__x_
"RUA PARAISOPOLIS, 135,SAO PAULO, SAO PAULO,BRASIL","058174154490000109","058","174","154490","00","0109",PE,VMT,"1",S,S,ZEIS-3,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","129","110",RUA PARAISOPOLIS,"135","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5310028","-46,510368"
"AV NOVE DE JULHO, 70,SAO PAULO, SAO PAULO,BRASIL","006035148040000649","006","035","148040","00","0649",SE,REP,"3",S,S,ZC,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"18",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","4003",AVENIDA NOVE DE JULHO,"70","1","0","0",,U,,,LOTE COM ENDERECO APROXIMADO,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5485997","-46,6395264"
"RUA ELIANE PEREIRA LOPES, 95,SAO PAULO, SAO PAULO,BRASIL","054098063193000551","054","098","063193","00","0551",MO,TAT,"1",S,S,ZEU,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","110","106",RUA ELIANE PEREIRA LOPES,"95","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5525268","-46,5690038"
"RUA QUIRINO DE ANDRADE, 39,SAO PAULO, SAO PAULO,BRASIL","006035167614000650","006","035","167614","00","0650",SE,REP,"1",S,S,ZC,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"18",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","382",RUA QUIRINO DE ANDRADE,"39","1","0","0",,U,,,LOTE COM ENDERECO APROXIMADO,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5480554","-46,6392604"
"RUA SABOO, 194,SAO PAULO, SAO PAULO,BRASIL","055106175765000033","055","106","175765","00","0033",AR,CAR,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","128","104",RUA SABOO,"194","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5568187","-46,536385"
"RUA SABOO, 192,SAO PAULO, SAO PAULO,BRASIL","055106175765000034","055","106","175765","00","0034",AR,CAR,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","128","104",RUA SABOO,"192","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5568639","-46,5364295"
"RUA CEL FRANCISCO INACIO, 583,SAO PAULO, SAO PAULO,BRASIL","050151074616000039","050","151","074616","00","0039",IP,SAC,"1",S,S,ZEM,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"10",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","159","170",RUA CEL FRANCISCO INACIO,"583","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,610562","-46,6011783"
"RUA OURICURI, 103,SAO PAULO, SAO PAULO,BRASIL","055249152374000063","055","249","152374","00","0063",AR,VFO,"3",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","113","224",RUA OURICURI,"103","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2023","0","-23,56716","-46,5390059"
"RUA OURICURI, 109,SAO PAULO, SAO PAULO,BRASIL","055249152374000064","055","249","152374","00","0064",AR,VFO,"3",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","141","193",RUA OURICURI,"109","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5671662","-46,5390775"
"RUA GUACUMA, 308,SAO PAULO, SAO PAULO,BRASIL","051250082449000058","051","250","082449","00","0058",VP,VPR,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","74","70",RUA GUACUMA,"308","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2023","0","-23,6079375","-46,5562934"
